frij,47
pijna,3
kunde,18
öfuer,179
altijdh,3
stielpa,3
Rättegång,5
Saker,3
giffua,3
woro,62
bettre,10
plåga,4
Bewijss,4
öffuer,29
ganske,2
tilbörligit,3
Lagmän,3
weta,29
obrutzligen,2
uppå,12
städia,3
fram,43
ransakat,4
33,5
skäligen,3
Witne,9
äntå,121
före,133
förswara,6
pläga,4
Jagh,21
reen,5
Sådan,3
förweet,2
Sakene,2
monge,6
igenom,8
afställa,2
borde,19
swäria,11
Sakerne,2
jagh,11
thenna,52
troor,4
Lagmennerne,2
ändogh,2
sielffuer,2
Förtörnelse,3
orätt,23
Män,26
sworet,5
giffs,3
mäns,16
fri,30
Troo,2
drifwen,5
galt,2
noghon,2
wiste,41
(,113
straffade,3
befestas,2
åklagaren,2
swaranden,3
Klagemål,5
gerningena,2
berådt,4
nogot,3
affhender,2
hafuer,758
wildt,2
hafwa,58
stiäl,14
annar,37
Ingom,2
wetandes,3
tagit,21
vpsåtet,2
Gerningena,2
gemenliga,2
Swerige,5
samman,24
kalla,9
kallat,4
Ting,56
lagt,17
Skada,4
ährelös,2
åthskilnadt,2
oquädins,3
fult,3
fast,109
modh,5
binda,8
Brutt,4
Ord,4
tilstädia,3
oskiäligh,2
plägar,18
Eder,5
Wilduge,2
Witne,2
Ähralös,2
nogon,4
Witnesbördet,2
witna,11
38,4
pijnt,2
dömas,27
aldrigh,17
lijda,5
Wederkennelse,2
stoor,14
Plågo,2
pinar,2
Jungfrwr,2
betre,5
effer,2
dråpeliga,2
therföe,2
obeskedeligha,2
gripit,3
Bekennelse,4
låte,63
Lijff,3
stogh,2
Gerningar,3
nekar,43
mest,5
skul,12
Herrarne,2
Monge,2
drifwin,2
förnär,9
theres,3
gånger,6
yttersta,7
föregifwin,2
annan,324
Förstånd,6
annorledes,31
lijdha,2
Mutor,2
Wold,2
affsagdt,2
haffue,4
twifwelachtigh,2
skrifwit,5
Stadz,4
höra,24
Mäns,3
Samwit,2
kräfwer,12
trätor,3
40,43
beklagat,3
Fahran,3
Båtnan,3
I,164
Namnp,2
Edzöre,2
Såramål,2
helst,41
giordt,57
ärendet,4
42,5
rådz,13
emoot,40
Föräldrarna,2
Fulmacht,2
423,3
sagdt,187
Rättelse,3
effterfölia,2
ibland,9
mehra,2
Prijs,2
Sidan,2
Står,5
47,2
femtio,3
53,3
thes,182
thesförrinnan,3
18.,3
starckt,4
betalt,11
128,2
styrker,2
133,2
beblandat,2
235,2
skiljacktiga,2
247,2
guld,10
Registret,2
9.,2
308,2
sakan,2
342,2
sked,3
Kongl,2
ts,9
Cancellie,2
FÖRETAL,2
THEN,2
Gudens,4
viljas,2
kiannedom,2
Menniskiom,2
djupt,3
Folk,3
funnit,7
Gud,20
gittat,3
mera,62
grundat,2
Folkslagen,2
Urstiftarens,2
sedermera,3
intyga,2
hos,110
inrättningar,2
oumgängliget,2
öfvertygade,2
förra,21
Menniskiorne,2
utan,429
blifva,8
Allvise,2
föreskrifvit,7
borgerliga,3
värn,5
lemnat,2
förnuften,2
grund,38
påiuda,2
Ju,2
stadgad,3
nogare,3
ju,4
sina,67
Lagens,5
ålder,17
Landet,3
bevis,34
Inbyggares,2
uti,427
rätter,14
ifrån,143
Thes,2
Svear,2
Ej,134
Göitha,2
flera,64
fastståndande,2
Rike,8
Giötha,4
Land,4
tiden,9
hvarefter,2
försedt,2
allenast,28
Landsmän,2
tider,5
utgåt,2
Länder,5
rådande,3
bevisligit,2
Longobarders,2
hvilcka,3
förhanden,2
åtskillige,5
orda-lag,2
gamla,7
språk,4
härleda,2
inländska,6
skrifter,28
under,197
hedna,3
Inglinga,3
Frälsares,2
utur,33
Riket,29
förändrades,2
Laga,2
Regering,3
600,6
efterlevande,2
sidsta,10
samma,499
sedan,432
sammanfogat,2
allmän,2
nödig,14
),120
fin,3
utsänd,2
benämnd,3
visa,23
et,16
värk,3
flockar,2
tiänte,9
Uplands,2
Herr,4
Pärsson,2
tolf,36
700,3
therefter,24
Konung,8
Månsons,5
minne,11
öfvervägande,3
allmänneliga,3
samt,11
påböids,2
fölgde,28
öfriga,6
landsändar,3
äldsta,3
Lagar,7
almänna,24
varande,2
blifvit,16
vidskepelser,2
Offer,2
fått,64
Hvilcka,2
Landskaps,2
Magnus,11
14de,2
Åhret,2
hela,23
almän,14
genom,120
giorda,2
inkast,3
att,1247
stadna,4
almänt,12
blev,3
afskrifter,4
runor,2
brukelige,2
varit,54
Kyrkior,3
hus,199
förvarade,3
hvarjehanda,14
hvarföre,3
Åhr,4
jemte,3
imellertid,2
särskilta,14
tidenas,2
Riksens,13
jämka,2
Samma,180
blef,144
CARL,6
å,619
1608,5
någon,219
ändring,13
omröres,2
kungiord,6
uttryckeliga,5
vidare,15
förbättring,6
vid,178
påmint,5
Högst,2
XI,12
1686,2
vissa,10
Herrar,3
lifstid,6
krigsorolligheter,2
salige,6
Allernådigsta,2
ULRICÆ,2
Regerings,4
sidst,17
mildaste,2
hulda,2
berömligen,2
ändteligen,2
fullkomlighet,2
Domstolar,5
hörde,35
betänckande,3
inkomma,4
sidstledne,2
Råd,21
