UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
  107910   Words
   84873   Misrecognized
   21.35%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       8        8     0.00   amsterdam
       2        0   100.00   ana
       2        2     0.00   anagrammatizerade
       2        2     0.00   anatomizerandes
       8        6    25.00   anda
       4        4     0.00   andackt
       4        4     0.00   andades
       2        2     0.00   andakt
       6        6     0.00   andan
       2        0   100.00   andans
       2        2     0.00   andedrã
       2        2     0.00   andelig
       2        2     0.00   andeliga
       4        4     0.00   andelige
     204      160    21.57   andra
      16       16     0.00   andras
       2        2     0.00   andre
       2        2     0.00   andã
       2        2     0.00   anfall
       2        2     0.00   anfallen
       2        2     0.00   anfallne
       6        4    33.33   anfã
       2        2     0.00   ange
      20       16    20.00   angelã
       8        8     0.00   angenã
       2        2     0.00   angifwa
       2        2     0.00   angripa
      36       24    33.33   angã
       8        6    25.00   anledning
       4        4     0.00   anledningen
       2        2     0.00   anlete
       6        4    33.33   anleten
       2        2     0.00   anletens
       4        4     0.00   anletes
       2        2     0.00   anlopp
       2        2     0.00   anlã
       2        2     0.00   anmoda
       8        4    50.00   anmã
      56       40    28.57   annan
     152      118    22.37   annat
       2        2     0.00   annorledes
       6        6     0.00   annorlunda
       2        2     0.00   annors
       6        6     0.00   annorstã
       2        2     0.00   annã
       2        2     0.00   ans
       4        4     0.00   ansedd
       4        4     0.00   ansedde
       2        2     0.00   ansedt
       8        8     0.00   ansee
      36       36     0.00   anseende
       4        4     0.00   anseendet
      14       14     0.00   anseenlig
       2        2     0.00   anseenligare
       2        2     0.00   anseenligen
       2        2     0.00   anseenligit
       2        2     0.00   ansenlig
       2        2     0.00   ansenligen
       2        2     0.00   ansenligit
       6        6     0.00   anser
       4        4     0.00   anses
       2        2     0.00   ansickte
       2        2     0.00   ansicktet
       4        4     0.00   ansikte
       8        8     0.00   ansikten
       2        2     0.00   anstallt
       2        2     0.00   anstalt
       2        2     0.00   anstalter
       2        2     0.00   anstodo
      24       24     0.00   anstã
       2        2     0.00   ansã
       4        2    50.00   antaga
       2        2     0.00   antagit
       4        2    50.00   antahl
       2        2     0.00   ante
       2        2     0.00   antidote
      42       38     9.52   antingen
       2        2     0.00   antiquarier
       4        4     0.00   antog
       2        2     0.00   antropophager
       4        4     0.00   anwisning
       4        4     0.00   anwã
       4        2    50.00   apa
       4        4     0.00   apan
       2        2     0.00   apelles
       2        2     0.00   apor
       2        2     0.00   apoteket
       4        4     0.00   appetit
       2        2     0.00   april
       2        2     0.00   apspel
       2        2     0.00   arabien
      10       10     0.00   arbeta
       8        8     0.00   arbetade
       2        2     0.00   arbetades
      16       16     0.00   arbete
       6        6     0.00   arbeten
       2        0   100.00   arbetet
       2        2     0.00   arbetshus
       2        2     0.00   arbetz
      12       10    16.67   arck
       4        4     0.00   arf
       6        4    33.33   arfwingar
       4        4     0.00   arg
       6        4    33.33   argt
      98       98     0.00   argus
