oss,0,0,0.019385748705308927,1,0,0,0,1
in,0,1,0.02492453404968291,1,0,0,0,1
i,0,1,1.416544351823645,1,0,0,0,1
hiärtat,0,0,0,1,0,0,0,1
Då,0,1,0.012462267024841454,1,0,0,0,1
skull,0,0,0.0013846963360934948,1,0,0,0,1
wår,0,0,0.0069234816804674745,1,0,0,0,1
nya,0,0,0,1,0,0,0,1
glitter,0,0,0,1,0,0,0,1
frägd,0,0,0,1,0,0,0,1
sitt,0,0,0.012462267024841454,1,0,0,0,1
Himmelrike,0,0,0,1,0,0,0,1
få,0,1,0.19247279071699577,1,0,0,0,1
Men,0,0,0.4791049322883492,1,0,0,0,1
säg,0,0,0,1,0,0,0,1
hwad,0,0,0.005538785344373979,1,0,0,0,1
skull,0,0,0.0013846963360934948,1,0,0,0,1
wår,0,0,0.0069234816804674745,1,0,0,0,1
gamla,0,0,0,1,0,0,0,1
frägd,0,0,0,1,0,0,0,1
och,0,0,0,1,0,0,0,1
fasthet,0,0,0,1,0,0,0,1
säija,0,0,0,1,0,0,0,1
då,0,1,0.022155141377495916,1,0,0,0,1
Jag,0,0,0.0027693926721869895,1,0,0,0,1
önskar,0,0,0.011077570688747958,1,0,0,0,1
at,0,1,1.3514636240272508,1,0,0,0,1
wår,0,0,0.0069234816804674745,1,0,0,0,1
milde,0,0,0.0013846963360934948,1,0,0,0,1
Kong,0,0,0.6646542413248775,1,0,0,0,1
och,0,0,0,1,0,0,0,1
Kongens,0,0,0.011077570688747958,1,0,0,0,1
milda,0,0,0,1,0,0,0,1
Maka,0,0,0,1,0,0,0,1
Som,0,0,0.009692874352654464,1,0,0,0,1
begge,0,0,0.015231659697028443,1,0,0,0,1
fått,0,0,0.0013846963360934948,1,0,0,0,1
af,0,1,0.5123376443545931,1,0,0,0,1
wishetz,0,0,0,1,0,0,0,1
brunn,0,0,0,1,0,0,0,1
de,0,1,0.5192611260350606,1,0,0,0,1
söta,0,0,0,1,0,0,0,1
frukter,0,0,0,1,0,0,0,1
smaka,0,0,0,1,0,0,0,1
Må,0,1,0.008308178016560969,1,0,0,0,1
lärdoms,0,0,0,1,0,0,0,1
blomstertiden,0,0,0,1,0,0,0,1
see,0,0,0.04846437176327231,1,0,0,0,1
som,0,0,0.7892769115732919,1,0,0,0,1
