gk,0,1,0,False,False,False,False
zo,0,1,0,True,False,False,False
m,0,1,0.06117273397557952,False,False,False,False
is,0,1,0.0004051174435468842,True,False,False,False
ses-,1,0.0,0,True,False,False,False
Menstrwa,0,0.0,0,True,False,False,False
Oves,0,0.0,0,True,False,False,False
.«Stånvr.äctuasueng—,4,0.0,0,True,True,False,False
-.den,2,0.0,0,True,False,False,False
och,0,0.0,0.8855867315934889,True,False,False,False
bredden-»,2,0.0,0,True,False,False,False
så,0,1,0.07778254916100177,True,False,False,False
sinner,0,0.0,0,True,False,False,False
man-ohe,1,0.0,0,True,False,False,False
tango,0,0.0,0,True,False,False,False
warq,0,0.0,0,True,False,False,False
gr,0,1,0.0004051174435468842,False,False,False,False
skos,0,0.0,0,True,False,False,False
m,0,1,0.06117273397557952,False,False,False,False
Sec,0,0.0,0,True,False,False,False
och-kvar,1,0.0,0,True,False,False,False
så,0,1,0.07778254916100177,True,False,False,False
de,0,1,0.3686568736276647,True,False,False,False
pständh,0,0.0,0,True,False,False,False
i,0,1,0.5691900081833724,True,False,False,False
dhen,0,0.0,0,True,False,False,False
gr,0,1,0.0004051174435468842,False,False,False,False
ko,0,1,0.0004051174435468842,True,False,False,False
m,0,1,0.06117273397557952,False,False,False,False
Is,0,1,0.0,True,False,False,False
Sec,0,0.0,0,True,False,False,False
affLeyonet-«hqns,2,0.0,0,True,True,False,False
widvkllessclaritudo,0,0.0,0,True,True,False,False
Bore-ale,1,0.0,0,True,False,False,False
st,0,1,0.0008102348870937684,False,False,False,False
gr,0,1,0.0004051174435468842,False,False,False,False
ze,0,1,0,True,False,False,False
ms,0,1,0,False,False,False,False
»I’8,2,0.0,0,True,False,False,True
semAfcdnüo,0,0.0,0,True,False,False,False
skocka,0,0.0,0.0,True,False,False,False
gkk,0,0.0,0,False,False,False,False
Mi,0,1,0,True,False,False,False
dchgköt,0,0.0,0,True,False,False,False
Vth,0,0.0,0,False,False,False,False
to,0,1,0.0004051174435468842,True,False,False,False
Diakonme,0,0.0,0,True,False,False,False
Dhepwedh,0,0.0,0,True,False,False,False
iagh,0,0.0,0,True,False,False,False
dhet,0,0.0,0,True,False,False,False
Obkcrvckadc,0,0.0,0,True,False,False,False
at,0,1,0.0004051174435468842,True,False,False,False
han,0,0.0,0.0640085560804077,True,False,False,False
wende,0,0.0,0,True,False,False,False
om,0,1,0.09479748178997091,True,False,False,False
gekad,0,0.0,0,True,False,False,False
öfwer,0,0.0,0.0008102348870937684,True,False,False,False
sven,0,0.0,0.0012153523306406527,True,False,False,False
Noi-disks,1,0.0,0,True,False,False,False
Hossman,0,0.0,0,True,False,False,False
och-gick,1,0.0,0,True,False,False,False
alm,0,0.0,0.0004051174435468842,True,False,False,False
icke,0,0.0,0.10127936088672107,True,False,False,False
«vnde«rwätl-lokizoyc.s,4,0.0,0,True,True,False,False
s,0,1,0.1515139238865347,False,False,False,False
s,0,1,0.1515139238865347,False,False,False,False
Den,0,0.0,0.0360554524756727,True,False,False,False
xxx-tandemen,1,0.0,0,True,False,False,False
"icke,i—«achtstagaxcometpn",3,0.0,0,True,True,False,False
medan,0,0.0,0.045778271120797916,True,False,False,False
Himwieten,0,0.0,0,True,False,False,False
medb,0,0.0,0,True,False,False,False
Mäm,0,0.0,0,True,False,False,False
wqr,0,0.0,0,False,False,False,False
öfwerdragey,0,0.0,0,True,False,False,False
.Dmsp2·z,2,0.0,0,False,False,False,True
Ki,0,1,0,True,False,False,False
Hyßctiaghonam,0,0.0,0,True,False,False,False
igen,0,0.0,0.015394462854781603,True,False,False,False
ISIchW,0,0.0,0,True,False,True,False
och,0,0.0,0.8855867315934889,True,False,False,False
siodh,0,0.0,0,True,False,False,False
han,0,0.0,0.0640085560804077,True,False,False,False
Wo,0,1,0,True,False,False,False
gr.,1,0.0,0.0,False,False,False,False
"15.-n1.ifr·cTU-c,apclla",6,0.0,0,True,True,False,True
-·1.z-,4,0.0,0,False,False,False,True
gr,0,1,0.0004051174435468842,False,False,False,False
Mitsftån,0,0.0,0,True,False,False,False
Arctom,0,0.0,0,True,False,False,False
Ych..xsz.gr,3,0.0,0,False,False,False,False
zo,0,1,0,True,False,False,False
m«,1,1,0,False,False,False,False
ess-Eds,1,0.0,0,True,False,False,False
zifMUTYFIJs,0,0.0,0,True,False,True,False
Violas-,1,0.0,0,True,False,False,False
Jagt),1,0.0,0,True,False,False,False
skets,0,0.0,0,True,False,False,False
THJ,0,0.0,0,False,False,True,False
a,0,1,0.0036460569919219586,True,False,False,False
