UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
  302465   Characters
  421832   Errors
  -39.46%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
  -39.46%  Accuracy After Correction

     Ins    Subst      Del   Errors
     156        0   {}-{e}
     156        0   {}-{orfezone tekn-metas si m...}
     155        0   {e}-{c}
     155        0   {}-{asttatgn sig formerades-...}
     155        0   {}-{igen, och lät den begea...}
     155        0   {}-{m . hall WUNin MHz- « -...}
     153        0   {}-{Det är sannolikt at fle...}
     153        0   {}-{deligen intet kunna zktt...}
     153        0   {}-{r - - - . . . . . , : . ...}
     152        0   {-<\n>}-{ }
     151        0   {,}-{}
     151        0   {<\n>}-{i bergsbygden der man sa...}
     151        0   {B}-{<<<<<<< HEAD<\n>, , , ZX...}
     151        0   {N}-{<<<<<<< HEAD<\n>s « Cea...}
     151        0   {}-{ samt nyttja Clystirer �...}
     151        0   {}-{sedan samma ord enda med...}
     151        0   {}-{warkan aga hurttghet rat...}
     150        0   {}-{- . , , , : . . . , , - ...}
     150        0   {}-{�relser ochswnfwandes eg...}
     149        0   {}-{gora sanner tigon rattil...}
     149        0   {}-{och gifwa ehe�<9F>e blas...}
     149        0   {}-{zon raka-lys ; a » «- ...}
     148        0   {t}-{c}
     148        0   {ſſ}-{ss}
     147        0   {d}-{AD<\n>. ,1 LP 13 1 .-�...}
     147        0   {ſ}-{ van sin pen . . . , , -...}
     146        0   { }-{s}
     146        0   {}-{ ett ganska- ringa-zib -...}
     146        0   {}-{ommer Arundo äfwen Hos ...}
     146        0   {}-{woro planterade. Men eft...}
     145        0   {}-{imbus (f.,142 �<80><94>!...}
     145        0   {ſ}-{=======<\n>.- ,1 LP 13 1...}
     144        0   {}-{ . - , : . , . . . - , ,...}
     144        0   {äſ}-{as}
     144        0   {ſå}-{sa}
     143        0   {}-{, - - - - - , , , , , , ...}
     143        0   {ſ}-{vthi modrem altid kil ka...}
     142        0   {}-{ och göra all ring rher...}
     142        0   {}-{on delijllation och extr...}
     142        0   {}-{sig i Dalmatien och stä...}
     141        0   {0}-{ befallte avenamque deAr...}
     141        0   {}-{d Doch sskan thetta andr...}
     141        0   {}-{hqtsoM W Okk F �<9F> Lye...}
     141        0   {}-{j - ; ! - . . . - , , - ...}
     141        0   {}-{pollen « Ann- pistillen...}
     141        0   {}-{wnd · » e) Hwars blomf...}
     140        0   {}-{ , åter T Hälst warm m...}
     140        0   {}-{ under et har iatide i E...}
     140        0   {}-{t sedan Harald Harsagers...}
     140        0   {}-{�nga-s slags trampor for...}
     140        0   {ſ}-{egier omkostnlngarne som...}
     139        0   {}-{stället egenteligen Pil...}
     138        0   {}-{e komma pa endalychtonne...}
     138        0   {}-{ki hærj jordcrjki fwafo...}
     138        0   {}-{�dja och stadfastaxför ...}
     137        0   {S}-{klocklikk akcjssusz» å...}
     137        0   {}-{ sidor om det samma alle...}
     137        0   {}-{. . . - - ; . ; - . - - ...}
     137        0   {}-{r dem-sten ; wa spkitE n...}
     137        0   {}-{synas kunna-ett sa s » ...}
     136        0   {}-{ lndjen Hoes thcm samma ...}
     136        0   {}-{, �<80><94> �<80><99>i -...}
     136        0   {}-{ersta d en af Umbin elle...}
     136        0   {ſ}-{ Ulah uttaias härdt med...}
     135        0   {<\n>}-{ - }
     135        0   {r}-{k}
     135        0   {}-{.}
     135        0   {}-{Java-« V AULHemix ti·�...}
     135        0   {}-{ng kojans tvåsng e a - ...}
     134        0   {}-{ diskants-IQ Jag sad�...}
     134        0   {}-{ets-KO rott math thr . :...}
     134        0   {}-{r EnåBrunsxuei s i s HB...}
     134        0   {ſ}-{esomvffmstt "ftM«M-EIIH...}
     133        0   {}-{ färg ; nye- vtan ock- ...}
     133        0   {}-{ulinxum Imoqu zde nm s -...}
     133        0   {}-{�rd« at en myckenhetxne...}
     132        0   {}-{ ! . - - - . . ; - ; ; ....}
     132        0   {}-{<9F> Euphokbia, Papavek,...}
     132        0   {}-{der i synnerhet Her tig ...}
     132        0   {ſ}-{i}
     131        0   {d}-{så . haf - « » - 4 . ...}
     131        0   {}-{r}
     131        0   {}-{�<80><94> öresta och Re...}
     131        0   {ſ}-{r , Wijdegrqsx med gohl ...}
     130        0   {}-{.D.schröde1-i.j - - -·...}
     130        0   {}-{S»0-8 ych Upmåcka dås...}
     130        0   {}-{beser s å vanna tdtbmkm...}
     130        0   {}-{en kropp- och honom med ...}
     130        0   {}-{i och sedens-repa s besp...}
     130        0   {}-{mma Mollugomajor Hwijt S...}
     130        0   {}-{rätta Menengen af deras...}
     129        0   {W}-{LOK Snärpen är 2 .l)wa...}
     129        0   {}-{ - - - - - - . - - , , -...}
     129        0   {}-{ emedan han ansåg Slät...}
     129        0   {}-{e - - - . - ; - - - - - ...}
     129        0   {}-{n « L z uagoasin - - , ...}
     129        0   {}-{ochscntetjlutw at Suzuk ...}
     129        0   {}-{tsars df hafs wakkm De �...}
     129        0   {}-{äthpä sammasätnxonk ;...}
     128        0   {}-{efalkejingen vndanrM kis...}
     128        0   {}-{ett annat stelle strifwe...}
     128        0   {}-{l IETF- s · A II - . . ...}
     128        0   {}-{lbielo-s«·men ther emo...}
     128        0   {}-{såmycketmoijeligit år ...}
     128        0   {}-{v-fint Jcke - . . . . . ...}
     127        0   {<\n>}-{t Utah som beteknar mage...}
     127        0   {}-{watn Ian haftzoa o « A ...}
     126        0   {/<\n>}-{ skuld til. allas sinkdo...}
