UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
    8402   Words
    6247   Misrecognized
   25.65%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       1        1     0.00   bloden
       1        1     0.00   blommande
       1        1     0.00   blomstertiden
       1        1     0.00   blomstrande
       1        1     0.00   blott
       1        1     0.00   blygdes
       4        3    25.00   blã
       1        1     0.00   bod
       1        1     0.00   boken
       2        2     0.00   bokhã
       1        1     0.00   boklã
       1        1     0.00   bokwett
       1        1     0.00   bonad
       1        1     0.00   bond
       1        1     0.00   bonde
       3        3     0.00   boo
       1        1     0.00   bor
       2        2     0.00   bord
       1        1     0.00   borde
       1        1     0.00   bordã
       1        1     0.00   borgare
       1        0   100.00   borgarne
       1        1     0.00   borgerskap
       3        1    66.67   bort
       1        1     0.00   bortã
       1        1     0.00   botandes
       1        0   100.00   bottnen
       1        1     0.00   bouteillen
       1        1     0.00   brackt
       1        1     0.00   brand
       1        1     0.00   brede
       3        3     0.00   bref
       1        1     0.00   brefwen
       1        1     0.00   brist
       1        1     0.00   brister
       1        1     0.00   brud
       2        2     0.00   bruk
       2        2     0.00   bruka
       1        1     0.00   brukade
       1        1     0.00   brukar
       2        2     0.00   brukas
       1        1     0.00   brukte
       1        1     0.00   bruna
       1        0   100.00   brunn
       1        0   100.00   brutit
       3        2    33.33   brã
       1        1     0.00   buller
       1        1     0.00   bullret
       1        1     0.00   bur
       1        1     0.00   bygga
       1        1     0.00   byggandet
       1        1     0.00   byggningar
       1        1     0.00   byggs
       1        1     0.00   bygning
       1        1     0.00   byta
       1        1     0.00   bytingar
       1        1     0.00   bytter
      37       23    37.84   bã
       2        2     0.00   cabinettet
       1        1     0.00   calabaliquen
       1        0   100.00   camererare
       1        1     0.00   cammare
       1        1     0.00   caracterizerade
       1        1     0.00   caresse
       1        1     0.00   caressen
       1        1     0.00   carl
       1        1     0.00   cartesianer
       1        0   100.00   chicanante
       1        1     0.00   chicane
       1        1     0.00   chicanera
       1        1     0.00   ck
       5        5     0.00   cka
       1        1     0.00   ckades
       1        1     0.00   ckandes
       1        1     0.00   ckare
       1        1     0.00   ckas
       2        2     0.00   ckelig
       1        1     0.00   ckelse
